$ ./asha-support 60_C0_BF_2F_6E_A0
loop: Initializing
Connecting to 60_C0_BF_2F_6E_A0
Connected to 60_C0_BF_2F_6E_A0
Device: /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0. /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021
Size: 2
Sent
Size: 17
Data (uint8): 1 0 98 3 34 51 68 85 102 119 1 0 0 0 0 2 0 
Data (hex): 1 0 62 3 22 33 44 55 66 77 1 0 0 0 0 2 0 
Version: 1
Device Capabilities(side): 0
Device Capabilities(type): 0
HiSync ID: 144115188075951974
Feature map: 0
Render delay: 25089
Reserved: 0
Supported Codecs: 0
Sent
Done.
L2CAP: Created socket 60_C0_BF_2F_6E_A0:168
L2CAP socket bound
Setting sockopts
Set recv mtu
Unable to set send mtu. Operation not permitted (1)
L2CAP: Connected to 60:C0:BF:2F:6E:A0:168
socket: 5
Writing to /org/bluez/hci0/dev_60_C0_BF_2F_6E_A0/service0021/char0025
AudioControlPoint Written
     0 | 26517243972227 | Wrote 161 bytes
sleep(19831 μs) |    186 | 26520964116732 | Wrote 161 bytes
sleep(19819 μs) |    187 | 26520984121523 | Wrote 161 bytes
sleep(19811 μs) |    188 | 26521004125231 | Wrote 161 bytes
sleep(19813 μs) |    189 | 26521024127983 | Wrote 161 bytes
sleep(19802 μs) |    190 | 26521044111633 | Wrote 161 bytes
sleep(19827 μs) |    191 | 26521064128789 | Wrote 161 bytes
sleep(19808 μs) |    192 | 26521084121200 | Wrote 161 bytes
sleep(19815 μs) |    193 | 26521104065791 | Wrote 161 bytes
sleep(19868 μs) |    194 | 26521124123368 | Wrote 161 bytes
sleep(19810 μs) |    195 | 26521144081341 | Wrote 161 bytes
sleep(19849 μs) |    196 | 26521164120465 | Wrote 161 bytes
sleep(19819 μs) |    197 | 26521194361569 | Wrote 161 bytes
sleep(9560 μs) |    198 | 26521204095219 | Wrote 161 bytes
sleep(19846 μs) |    199 | 26521224133954 | Wrote 161 bytes
sleep(19791 μs) |    200 | 26521244116163 | Wrote 161 bytes
sleep(19823 μs) |    201 | 26521264062319 | Wrote 161 bytes
sleep(19875 μs) |    202 | 26521284122691 | Wrote 161 bytes
sleep(19815 μs) |    203 | 26521304111381 | Wrote 161 bytes
sleep(19829 μs) |    204 | 26521324120765 | Wrote 161 bytes
sleep(19817 μs) |    205 | 26521344122294 | Wrote 161 bytes
sleep(19813 μs) |    206 | 26521364092421 | Wrote 161 bytes
sleep(19847 μs) |    207 | 26521384095052 | Wrote 161 bytes
sleep(19855 μs) |    208 | 26521404105252 | Wrote 161 bytes
sleep(19842 μs) |    209 | 26521424113668 | Wrote 161 bytes
sleep(19828 μs) |    210 | 26521444120064 | Wrote 161 bytes
sleep(19817 μs) |    211 | 26521464120733 | Wrote 161 bytes
sleep(19795 μs) |    212 | 26521484124858 | Wrote 161 bytes
sleep(19808 μs) |    213 | 26521504116667 | Wrote 161 bytes
sleep(19823 μs) |    214 | 26521524119238 | Wrote 161 bytes
sleep(19819 μs) |    215 | 26521544113118 | Wrote 161 bytes
sleep(19825 μs) |    216 | 26521564112269 | Wrote 161 bytes
sleep(19826 μs) |    217 | 26521584116972 | Wrote 161 bytes
sleep(19820 μs) |    218 | 26521604121874 | Wrote 161 bytes
sleep(19815 μs) |    219 | 26521624089676 | Wrote 161 bytes
sleep(19843 μs) |    220 | 26521644082664 | Wrote 161 bytes
sleep(19866 μs) |    221 | 26521664029142 | Wrote 161 bytes
sleep(19921 μs) |    222 | 26521683991748 | Wrote 161 bytes
sleep(19958 μs) |    223 | 26521704025230 | Wrote 161 bytes
sleep(19927 μs) |    224 | 26521724066476 | Wrote 161 bytes
sleep(19879 μs) |    225 | 26521744113325 | Wrote 161 bytes
sleep(19836 μs) |    226 | 26521764119665 | Wrote 161 bytes
sleep(19818 μs) |    227 | 26521784119435 | Wrote 161 bytes
sleep(19819 μs) |    228 | 26521804082525 | Wrote 161 bytes
sleep(19858 μs) |    229 | 26521824131946 | Wrote 161 bytes
sleep(19799 μs) |    230 | 26521844114422 | Wrote 161 bytes
sleep(19821 μs) |    231 | 26521864141926 | Wrote 161 bytes
sleep(19798 μs) |    232 | 26521884113445 | Wrote 161 bytes
sleep(19837 μs) |    233 | 26521904070866 | Wrote 161 bytes
